overall,age
72,21
72,20
72,19
72,20
72,20
72,21
72,23
72,22
72,22
72,22
72,22
72,22
72,21
72,22
72,21
72,21
72,22
72,22
72,21
72,20
72,22
72,20
72,21
72,23
72,21
72,22
72,23
72,22
72,20
72,23
72,22
72,21
72,21
72,23
72,23
72,23
72,22
72,22
72,23
72,24
72,23
72,23
72,23
72,21
72,21
72,22
72,22
72,22
72,20
72,21
72,23
72,21
72,21
72,23
72,23
72,24
72,23
72,25
72,24
72,24
72,24
72,23
72,23
72,24
72,21
72,23
72,22
72,23
72,24
72,23
72,22
72,24
72,22
72,23
72,22
72,22
72,23
72,22
72,23
72,24
72,21
72,24
72,22
72,23
72,22
72,22
72,24
72,23
72,21
72,23
72,24
72,24
72,23
72,24
72,23
72,23
72,22
72,24
72,23
72,22
72,22
72,24
72,21
72,22
72,23
72,24
72,23
72,23
72,22
72,23
72,23
72,21
72,24
72,22
72,22
72,23
72,22
72,23
72,23
72,26
72,24
72,24
72,24
72,23
72,23
72,24
72,22
72,24
72,23
72,24
72,25
72,23
72,24
72,24
72,24
72,23
72,23
72,24
72,24
72,24
72,24
72,23
72,24
72,24
72,25
72,24
72,24
72,24
72,26
72,24
72,22
72,23
72,24
72,26
72,26
72,25
72,23
72,24
72,25
72,25
72,26
72,26
72,25
72,26
72,24
72,26
72,27
72,25
72,25
72,25
72,25
72,24
72,26
72,25
